,id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,city
189278,29823739,"Pool house at Sunset Cliffs ,Ocean Beach,Downtown!",35006292,Jennifer,,Ocean Beach,32.73017,-117.24432,Entire home/apt,150,2,129,24/07/20,6.2,4,238,San Diego
132645,15080267,"Huge Brownstone,Private backyard.",8993084,Kimberly,Brooklyn,Bedford-Stuyvesant,40.69059,-73.95602,Private room,70,8,20,12/02/19,0.43,4,30,New York City
46712,34341150,"Classic 5BR House near DU, Wellshire Hills",83947420,Dave,,Wellshire,39.66719,-104.94415,Entire home/apt,235,2,10,01/09/19,0.75,1,0,Denver
17409,15446403,New Kid on the Block! Modern 1 BD Apt. Near Beach,90822688,Mercedes,,Hollywood,26.03099,-80.14017,Entire home/apt,77,3,23,05/02/20,0.53,1,159,Broward County
177788,25575425,Urban Flat | 2BR Corner Unit | Self Check In,2917744,Urban Flat,,San Jose,37.40261,-121.94342,Entire home/apt,269,5,6,28/04/20,0.33,65,363,San Clara Country
90322,29797995,Suite Museum Row & The Grove,75177834,Amit,City of Los Angeles,Mid-Wilshire,34.06078,-118.35378,Entire home/apt,114,1,125,25/08/20,5.59,3,342,Los Angeles
165500,37284036,Piedmont Ave upgraded 4 bdrm house w/ yard & parkg,62043383,Eric,,Piedmont,37.82448,-122.24825,Entire home/apt,300,2,23,02/03/20,2.25,1,0,Oakland
30329,25949285,Spacious Duplex with Courtyard,109324837,Youngin,,Lincoln Park,41.93201,-87.66231,Entire home/apt,84,3,61,08/03/20,2.23,1,0,Chicago
16163,4502633,"2BR Pool,BBQ,Garden 1.3ml to Beach. Max 6 Guests^1",13114408,Sheridan,,Dania Beach,26.03392,-80.14581,Entire home/apt,103,1,14,16/03/20,0.25,62,362,Broward County
88894,27608582,Modern Santa Monica Cottage - Walk to the Beach,6858241,Teresa,Other Cities,Santa Monica,34.01031,-118.48454,Private room,332,2,74,01/09/20,3.13,1,260,Los Angeles
153554,38314878,Marie's Cozy Casa nr LGA Airport-Delayed Flights#2,138683254,Marie,Queens,East Elmhurst,40.76657,-73.87683,Shared room,49,1,2,31/12/19,0.16,8,365,New York City
78765,11585330,best nearest community in Hollywood,61259585,Yutong,City of Los Angeles,Hollywood,34.10184,-118.33651,Entire home/apt,72,30,0,,,1,0,Los Angeles
79954,13715525,M7-Corporate Apt w/full Kitchen,32083159,Mike,Unincorporated Areas,La Crescenta-Montrose,34.20984,-118.22853,Entire home/apt,90,20,34,22/08/20,0.67,7,353,Los Angeles
216316,23039737,St Paul Superbowl Special,113146490,Desiree,,Ramsey,44.97264,-93.10895,Entire home/apt,869,1,0,,,1,364,Twin Cities MSA
175686,10502288,Master Suite with private bath,8336512,David,,San Jose,37.3646,-121.80138,Private room,1000,1,0,,,1,365,San Clara Country
60203,27850396,Kona Ali’i 502 Oceanfront Condo,135688380,Sally,Hawaii,North Kona,19.6366,-155.99079,Entire home/apt,225,3,18,16/03/20,0.77,1,285,Hawaii
222167,21899229,"Furnished room near 14th st, U st, Dupont circle",158996241,Sajith,,"Howard University, Le Droit Park, Cardozo/Shaw",38.91595,-77.03385,Private room,75,2,4,13/01/18,0.12,2,0,Washington D.C.
145729,29629370,Cozy Brooklyn Studio Apartment Condo,39483399,Kristen,Brooklyn,Fort Greene,40.69319,-73.98226,Entire home/apt,60,5,0,,,1,0,New York City
145196,28919609,Private Bathroom with Private Entrance Door,216772639,Kathy & Yvonne,Brooklyn,Borough Park,40.63564,-74.00553,Private room,55,1,1,14/10/18,0.04,7,180,New York City
99058,41274441,Urban 1 Bedroom -  Oversized Patio Near The Beach,147398503,Irina,Other Cities,Santa Monica,34.01363,-118.49139,Entire home/apt,110,30,0,,,74,195,Los Angeles
98573,40803704,VIP Pro SANITIZED Hollywood5bed 2BR w/Parking #08b,186335360,Dave,City of Los Angeles,Hollywood,34.09837,-118.32735,Entire home/apt,215,30,3,19/06/20,0.37,20,362,Los Angeles
5569,17566215,"Quiet, Private Room.  Parking & Wifi",51809476,Dao,,78757,30.35484,-97.71674,Private room,26,28,2,05/10/19,0.16,9,38,Austin
93165,34118782,FANTASTIC 1 BDM APARTMENT/PRIME AREA/THE GROVE,255307136,Mike,City of Los Angeles,Mid-Wilshire,34.06307,-118.34791,Entire home/apt,96,30,17,26/08/20,1.06,4,0,Los Angeles
151150,35583150,Beautiful Brownstone Entire Apartment In Manhattan,265424495,Benat,Manhattan,Harlem,40.80369,-73.94764,Entire home/apt,150,3,6,03/01/20,0.45,2,0,New York City
58253,23773526,Sunshine by the Sea!,28328320,Barbara,Maui,Kihei-Makena,20.79265,-156.50942,Entire home/apt,400,5,3,17/01/19,0.12,15,291,Hawaii
82962,19018757,Comfy 1 bedroom in Trending LA Neighborhood,9193448,Víctor,City of Los Angeles,Los Feliz,34.10309,-118.30756,Entire home/apt,72,30,6,24/01/18,0.15,1,0,Los Angeles
108786,37943204,Private Bedroom 8 minutes from Heart of Downtown!,151184920,David,,District 2,36.20347,-86.78392,Private room,51,1,36,25/08/20,2.89,2,2,Nashville
125188,7558612,Sunny Upper East Side Studio,1859037,Phoebe,Manhattan,Upper East Side,40.78039,-73.95255,Entire home/apt,128,90,5,30/10/17,0.09,1,365,New York City
72206,36021884,PERFECT Family Vacay or Biz Trip Home Near SUBWAY!,269771244,Artem,,Ward C (councilmember Richard Boggiano),40.73346,-74.05843,Private room,159,1,41,14/06/20,3.48,2,202,Jersey City
129593,12148081,"Sexy, Cozy, Work, Play Loft for 4",23913300,Kelly,Brooklyn,Williamsburg,40.71265,-73.96574,Entire home/apt,375,2,45,01/01/20,0.85,2,179,New York City
86013,22959098,LAX  and the beach Redondo Hermosa Manhattan,170106431,Matthew,Other Cities,Redondo Beach,33.86595,-118.37927,Private room,80,365,13,30/04/20,0.42,1,336,Los Angeles
25574,42358447,Modern Studio 7,147206414,Michael,,Hollywood,26.02202,-80.14342,Entire home/apt,62,2,0,,,6,90,Broward County
86043,23004522,Private Bedroom in our Lovely Home.,104142156,Gabriel,Other Cities,Long Beach,33.85485,-118.17345,Private room,60,2,47,24/02/20,1.49,1,10,Los Angeles
144146,27540102,"☀ Sun-drenched Chic ""The SOHO Cabin"" ❄",206972453,Grant,Manhattan,Nolita,40.72205,-73.99699,Entire home/apt,407,4,17,27/10/19,0.72,1,0,New York City
109098,39301741,Amazing '12 South' Studio with King Bed,132101501,Andy,,District 17,36.12658,-86.78581,Entire home/apt,106,10,32,02/08/20,3.25,1,158,Nashville
190387,34305744,PORCHLIGHT HOME Central San Diego FREE parking,160887862,Mark,,West University Heights,32.76005,-117.14806,Entire home/apt,250,2,72,19/03/20,4.95,5,146,San Diego
178024,27031771,*Comfortable huge private single room*,200276670,Jia,,San Jose,37.32031,-121.98117,Private room,45,30,6,28/11/19,0.26,2,0,San Clara Country
143551,26805586,Clay's place@Bayswater,147710243,Clayton,Queens,Bayswater,40.60644,-73.76089,Private room,236,2,9,19/07/20,0.66,1,180,New York City
30277,25481520,Spacious 2BR Apt. Close to Airport + Parking,35781467,Ariel & Sona,,Jefferson Park,41.96972,-87.76852,Entire home/apt,100,1,96,07/09/20,3.42,9,214,Chicago
29208,17547943,Close to EVERYTHING! Multi-bed&bath w/free parking,22573057,Todd,,Douglas,41.84421,-87.62644,Entire home/apt,158,3,98,24/10/19,2.29,2,270,Chicago
2158,217637,East Austin Charmer -- Super Cozy,307872,T.M.,,78722,30.28913,-97.71844,Entire home/apt,99,2,128,15/03/20,1.21,1,0,Austin
18600,21567182,EXCELENTE DEPARTAMENTO VISTA AL MAR,60510571,Matias,,Hollywood,26.00099,-80.11784,Entire home/apt,145,1,0,,,2,364,Broward County
152572,37246322,Dylan Hotel NYC - Luxury Double Room,266764027,Dylan,Manhattan,Midtown,40.75248,-73.97835,Hotel room,138,1,4,20/01/20,0.31,5,330,New York City
20631,30132616,East Room in Hollywood Apartment,28313887,Gadisai & Katerina,,Hollywood,25.99861,-80.14214,Private room,39,1,46,28/04/20,2.4,13,179,Broward County
187372,22718757,Sunny & Peaceful Retreat 2 Bedroom North Park,4185643,Veena,,West University Heights,32.76117,-117.14014,Entire home/apt,100,2,82,02/05/20,2.74,17,27,San Diego
34945,13937405,Marriott Grand Chateau On The Strip Luxury Studio,19056065,Tony,,Unincorporated Areas,36.10723,-115.16992,Entire home/apt,175,1,127,15/06/20,2.58,4,177,Clark County
122876,5028264,Charming Studio Apartment,25881276,Jordana,Manhattan,Upper West Side,40.7921,-73.97918,Entire home/apt,125,21,49,16/02/20,0.73,1,0,New York City
15017,40324158,❤ Lux 3br near Ⓣ ✈ Back Bay North End Faneuil Hall,914769,Michael,,East Boston,42.36712,-71.03788,Entire home/apt,241,1,3,11/05/20,0.66,2,237,Boston
195642,7247351,One room cottage tucked away in SF,37950014,Shauna,,Outer Mission,37.73214,-122.43068,Entire home/apt,100,2,186,17/03/20,3.28,1,178,San Francisco
41457,43467382,THE ULTIMATE LUXURY LAS VEGAS MANSION GETAWAY!!!,79581789,Mourad,,City of Henderson,36.03585,-115.0554,Entire home/apt,3600,2,0,,,13,360,Clark County
157960,41783575,Roomy and relaxing 2 B Brooklyn NY,144687306,Nutrice,Brooklyn,Prospect-Lefferts Gardens,40.65578,-73.95224,Private room,90,1,3,21/05/20,0.47,5,0,New York City
154001,38720137,"Spectacular furnished 1 bed/ 1 bath, apartment",44753600,Jordan,Manhattan,Theater District,40.76247,-73.98519,Entire home/apt,200,30,2,16/03/20,0.22,1,365,New York City
141299,23596665,Beautiful 420-Friendly Private Bedroom & Bath,148564534,Matt,Brooklyn,Prospect-Lefferts Gardens,40.66094,-73.94535,Private room,65,1,83,29/09/19,2.77,1,0,New York City
189620,31568968,Delightful 2BR 2BA Condo in Heart of Little Italy,2385909,James,,Little Italy,32.72265,-117.1682,Entire home/apt,115,30,1,26/01/19,0.05,5,0,San Diego
95519,37471218,Cozy getaway in Topanga/Malibu 10 min to the ocean,208045468,Malin,Unincorporated Areas,Topanga,34.07857,-118.60271,Entire home/apt,120,1,5,03/09/19,0.38,1,0,Los Angeles
45650,23645586,Rustic Uptown Apartment walking distance downtown,46428722,Toni,,North Capitol Hill,39.74716,-104.98103,Entire home/apt,125,2,42,18/06/20,1.53,1,0,Denver
120829,3111416,Charming and Artsy LES 1-Bedroom,3765042,Grant,Manhattan,Lower East Side,40.71848,-73.98159,Entire home/apt,63,28,16,15/12/19,0.21,1,281,New York City
4825,13766999,One Bedroom Relaxation Station,30437362,Christiana,,78741,30.23618,-97.71441,Entire home/apt,85,2,7,05/09/16,0.14,1,0,Austin
91774,32007491,孔雀园高级公寓一室一厅，（1b1b)独立进出,207654671,Cindy,Unincorporated Areas,Rowland Heights,33.98873,-117.91675,Entire home/apt,99,1,8,11/08/20,0.43,10,359,Los Angeles
132710,15160268,Elegant Ground Floor Garden Apartment,43194795,Elspeth,Brooklyn,Crown Heights,40.67843,-73.96385,Entire home/apt,120,5,3,21/10/16,0.06,2,0,New York City
112456,17524169,Bywater studio. 1 house from river.,4591564,Tracy,,Bywater,29.96087,-90.04007,Entire home/apt,105,1,42,15/03/20,0.99,1,364,New Orleans
222508,23859958,Bloomingdale Charm,179244699,Lyric,,"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.91404,-77.01652,Entire home/apt,140,3,11,03/09/18,0.36,1,0,Washington D.C.
199510,36199714,Charming 2 bedrooms 1 bath flat with parking,9080666,Sandy,,Ocean View,37.71433,-122.46552,Entire home/apt,99,30,0,,,7,330,San Francisco
192553,40988524,"OCEAN VIEW,LARGE FLOOR PLAN,FIRE PIT,FIRE PLACE",319667614,Brian,,Carmel Valley,32.91155,-117.2188,Entire home/apt,6000,7,0,,,1,365,San Diego
38604,34337518,Stunning Views/Tennis/8 bed 6 bath/5 min to Strip,259235825,Ken,,Unincorporated Areas,36.01661,-115.1924,Entire home/apt,886,3,27,23/08/20,1.82,2,208,Clark County
208628,21011094,"Private bedrooms, shared living room and kitchen",12969403,Joey,Queen Anne,North Queen Anne,47.6476,-122.35631,Private room,120,30,51,04/11/18,1.6,1,89,Seattle
66311,38815443,Hono Koa Maui's Gorgeous Oceanfront!,296130757,Jay,Maui,Lahaina,20.95723,-156.68364,Entire home/apt,303,7,0,,,25,277,Hawaii
148248,32251904,Mary Sweet Home,242063700,Marysell,Queens,Flushing,40.73907,-73.82943,Private room,65,1,2,10/03/19,0.1,1,0,New York City
101264,43341562,Ocean Breeze studio,28933623,Cyrus,Other Cities,Santa Monica,34.02847,-118.47941,Entire home/apt,81,30,0,,,11,345,Los Angeles
3558,5639508,1-bedroom Downtown Condo for SXSW,29155502,Tony R.,,78701,30.2705,-97.74059,Entire home/apt,849,2,0,,,1,0,Austin
53064,15113231,Westin Ka'anapali Ocean Resort Villas - Studio,11137925,Tom,Maui,Lahaina,20.93736,-156.69127,Entire home/apt,364,4,10,26/02/20,0.24,2,239,Hawaii
7562,26469924,3 LONG TERM AUSTIN free PARKING HomeOffice Kitchen,49009585,Rr,,78717,30.48315,-97.78904,Private room,29,1,58,13/07/20,2.16,5,0,Austin
15694,44824831,Evonify | Theatre District | Gorgeous 1BR Apt,274552333,Evonify,,Downtown,42.35119,-71.06465,Entire home/apt,129,1,0,,,9,219,Boston
1520,37212222,Mountain Experience Minutes from Asheville,17086502,Tim,,28805,35.59058,-82.45998,Entire home/apt,91,2,51,14/09/20,3.8,1,243,Asheville
44954,17341684,Spacious private bed & bath near RiNo & Downtown,117130827,Alex,,Whittier,39.76077,-104.96895,Private room,51,2,205,16/03/20,5.18,2,61,Denver
201294,1336144,HackerHome - Menlo Park: bunk 2,43806,Vic,,Menlo Park,37.45169,-122.1819,Shared room,35,30,78,01/06/19,0.91,30,365,San Mateo County
41334,43216005,POOL HOUSE w/Vaulted Ceilings,25105,Irene,,City of Henderson,35.99508,-115.10877,Entire home/apt,379,2,33,23/08/20,7.23,6,70,Clark County
172711,29371910,The RENROC House,221287752,Jeffrey,Newport,Newport,41.50503,-71.30999,Entire home/apt,350,3,8,09/09/19,0.55,1,312,Rhode Island
68637,42186253,Walkable Waikiki Condo,110597024,Justin,Honolulu,Primary Urban Center,21.28361,-157.82848,Entire home/apt,75,13,0,,,1,200,Hawaii
22585,36659314,2003 A . BEACHWALK HALLANDALE / MIAMI 4/5 sleeps !,275233151,David,,Hallandale Beach,25.98618,-80.13712,Entire home/apt,129,2,3,13/03/20,0.8,2,156,Broward County
38957,36352659,1BR Condo near Strip w/Laundry and Kitchen K313,6743803,Rodney,,Unincorporated Areas,36.09611,-115.13134,Entire home/apt,99,1,85,17/08/20,6.13,43,101,Clark County
128726,10837039,Private Room in Spacious 3BR 2BA,2252514,April,Brooklyn,Prospect-Lefferts Gardens,40.65791,-73.95009,Private room,20,1,2,21/11/16,0.04,1,0,New York City
156666,40736607,Luxurious Hell’s Kitchen!! Exclusive NYC!,7985095,Douglas,Manhattan,Hell's Kitchen,40.76384,-73.98844,Entire home/apt,285,30,1,04/03/20,0.16,4,365,New York City
119487,1633313,Bohemian W'Burg Duplex,8677042,Malcolm,Brooklyn,Williamsburg,40.7086,-73.94715,Entire home/apt,200,2,2,01/01/20,0.1,1,0,New York City
114775,32527288,NEW!! SUPER SPACIOUS NOLA HOME/ AMAZING RATES!!,234604198,Lee,,Little Woods,30.03106,-90.0223,Entire home/apt,120,2,32,17/08/20,1.74,3,86,New Orleans
23831,39956181,⭐️BEST OVERALL⭐️3BR Turn-key house ✨Free Parking✨,53676377,"Roosevelt Gardens Vacations, LLC",,Unincorporated,26.14337,-80.18199,Entire home/apt,266,1,20,12/06/20,2.99,3,333,Broward County
200500,41785573,Deluxe Queen,309730457,Edwardian Hotel,,Downtown/Civic Center,37.77444,-122.42117,Private room,157,1,0,,,4,249,San Francisco
122632,4822057,Room in Airy Williamsburg Apt,19660044,Jennifer,Brooklyn,Williamsburg,40.70816,-73.94244,Private room,103,1,7,31/05/16,0.1,1,0,New York City
131258,13654760,Spacious LES Studio with Private Outdoor Space,88260,Eric,Manhattan,Lower East Side,40.71967,-73.98506,Entire home/apt,166,3,61,14/02/20,1.23,1,67,New York City
207999,17607110,Modern Spacious Wallingford Townhome,12776061,Ram,Other neighborhoods,Wallingford,47.65998,-122.33092,Entire home/apt,150,30,2,09/04/17,0.05,1,0,Seattle
107126,26713924,Star Wars Suite: Not your typical crash pad,200867539,Elissa,,District 28,36.06809,-86.67039,Private room,35,2,88,05/08/20,3.37,1,5,Nashville
167070,8290549,Urban Oasis / Private Guesthouse,43706954,Ron And Misti,,Overlook,45.55699,-122.68717,Entire home/apt,95,3,123,08/10/19,2.21,1,0,Portland
56592,20906102,Hilo Bay Sunrise,94129063,Carrie,Hawaii,South Hilo,19.74288,-155.09617,Entire home/apt,117,2,45,26/01/20,1.27,1,0,Hawaii
57078,21568099,"2BR/1BA Condo. Free PARKING, Free WiFi!",13031980,Arvis,Honolulu,Primary Urban Center,21.28731,-157.83293,Entire home/apt,105,2,38,25/03/20,1.16,8,333,Hawaii
161077,43857333,Warm and Cozy 2BR in Financial District,160737309,Lionel,Manhattan,Financial District,40.70374,-74.00696,Entire home/apt,135,30,1,08/07/20,0.47,4,365,New York City
60081,27575087,Seashells in Paradise Studio,127272385,Kathy,Maui,Kihei-Makena,20.69044,-156.43626,Private room,170,5,26,12/02/20,1.06,1,331,Hawaii
56488,20741902,"Sunny Beach Villa! Free Wifi, Parking, Ocean, Beach, Pool!",147713325,Love Hawaii Villas,Honolulu,Ewa,21.33582,-158.12059,Entire home/apt,344,6,0,,,32,315,Hawaii
